交易日,识别时间,板块,方向,龙头代码,跟随品种代码列表,滞后相关系数列表
2025-06-18,2025-06-18 14:59:00,烯烃塑料,上涨,PP,"EB,L","0.3989415254,0.3617372770"
2025-06-18,2025-06-18 15:00:00,烯烃塑料,上涨,PP,"EB,L","0.3989415254,0.3617372770"
2025-10-14,2025-10-14 14:59:00,烯烃塑料,下跌,EB,V,0.3057406825
2025-10-14,2025-10-14 15:00:00,烯烃塑料,下跌,EB,V,0.3057406825
2025-10-28,2025-10-28 14:59:00,有色基本金属,下跌,NI,ZN,0.3019963757
2025-10-28,2025-10-28 15:00:00,有色基本金属,下跌,NI,ZN,0.3019963757
2025-11-03,2025-11-03 13:59:00,有色基本金属,上涨,AL,NI,0.3095059070
2025-11-03,2025-11-03 14:59:00,有色基本金属,上涨,AL,NI,0.3095059070
2025-11-03,2025-11-03 15:00:00,有色基本金属,上涨,AL,NI,0.3095059070
2025-12-05,2025-12-05 10:59:00,烯烃塑料,下跌,L,PL,0.3583251338
2025-12-05,2025-12-05 11:30:00,烯烃塑料,下跌,L,PL,0.3583251338
2025-12-05,2025-12-05 13:59:00,烯烃塑料,下跌,L,PL,0.3583251338
2025-12-05,2025-12-05 14:59:00,烯烃塑料,下跌,L,PL,0.3583251338
2025-12-05,2025-12-05 15:00:00,烯烃塑料,下跌,L,PL,0.3583251338
2026-02-12,2026-02-12 10:59:00,煤化工建材,上涨,UR,FG,0.3173976707
2026-02-12,2026-02-12 11:30:00,煤化工建材,上涨,UR,FG,0.3173976707
2026-02-12,2026-02-12 13:59:00,煤化工建材,上涨,UR,FG,0.3173976707
2026-03-19,2026-03-19 13:59:00,新能源材料,下跌,PS,LC,0.3368892674
2026-03-19,2026-03-19 14:59:00,新能源材料,下跌,PS,LC,0.3368892674
2026-03-19,2026-03-19 15:00:00,新能源材料,下跌,PS,LC,0.3368892674
2026-04-22,2026-04-22 13:59:00,黑色钢矿,上涨,HC,I,0.3202969798
2026-04-22,2026-04-22 14:59:00,黑色钢矿,上涨,HC,I,0.3202969798
2026-04-22,2026-04-22 15:00:00,黑色钢矿,上涨,HC,I,0.3202969798
