识别时间,交易日,龙头品种,板块,方向,当前涨跌幅,当前增减仓幅度,前20日最高价或最低价,前20日平均涨跌幅绝对值,前20日平均增减仓幅度绝对值,首次突破时间,识别小时,历史窗口开始,历史窗口结束,触发原因
2018-02-06 10:59:00,2018-02-06,IF,金融期货,向下,-0.0233857076,-0.0349691657,4159.5779037411,0.0067373234,0.0145154309,2018-02-06 10:36:00,2018-02-06 10:00:00,2018-01-09,2018-02-05,low=4154.4 跌破前20日低点 4159.58；涨跌幅=-2.3386%，超过2倍前20日平均绝对涨跌幅 0.6737%；减仓幅度=-3.4969%，超过1.5倍前20日平均绝对增减仓幅度 1.4515%；首次突破时间=2018-02-06 10:36:00
2018-02-06 11:30:00,2018-02-06,IF,金融期货,向下,-0.0225809277,-0.0296056518,4159.5779037411,0.0067373234,0.0145154309,2018-02-06 10:36:00,2018-02-06 11:00:00,2018-01-09,2018-02-05,low=4154.4 跌破前20日低点 4159.58；涨跌幅=-2.2581%，超过2倍前20日平均绝对涨跌幅 0.6737%；减仓幅度=-2.9606%，超过1.5倍前20日平均绝对增减仓幅度 1.4515%；首次突破时间=2018-02-06 10:36:00
2018-02-08 15:00:00,2018-02-08,AP,果品,向下,-0.0300055637,-0.2008778784,6846.3287677529,0.0067331352,0.0942241661,2018-02-08 09:01:00,2018-02-08 15:00:00,2018-01-11,2018-02-07,low=6553.69 跌破前20日低点 6846.33；涨跌幅=-3.0006%，超过2倍前20日平均绝对涨跌幅 0.6733%；减仓幅度=-20.0878%，超过1.5倍前20日平均绝对增减仓幅度 9.4224%；首次突破时间=2018-02-08 09:01:00
2018-02-09 09:59:00,2018-02-09,IF,金融期货,向下,-0.0311920213,-0.0395884485,3976.6787774492,0.0093044208,0.0150427085,2018-02-09 09:31:00,2018-02-09 09:00:00,2018-01-12,2018-02-08,low=3864.26 跌破前20日低点 3976.68；涨跌幅=-3.1192%，超过2倍前20日平均绝对涨跌幅 0.9304%；减仓幅度=-3.9588%，超过1.5倍前20日平均绝对增减仓幅度 1.5043%；首次突破时间=2018-02-09 09:31:00
2018-02-12 14:59:00,2018-02-12,RM,油脂油料,向上,0.0181901949,0.0396435747,2350.5607278115,0.0054842851,0.0195904173,2018-02-12 09:05:00,2018-02-12 14:00:00,2018-01-15,2018-02-09,high=2371.69 突破前20日高点 2350.56；涨跌幅=1.8190%，超过2倍前20日平均绝对涨跌幅 0.5484%；增仓幅度=3.9644%，超过1.5倍前20日平均绝对增减仓幅度 1.9590%；首次突破时间=2018-02-12 09:05:00
2018-02-23 13:59:00,2018-02-23,JD,畜禽,向上,0.0161451797,0.0750874705,3869.0997598328,0.0046299470,0.0178441319,2018-02-23 13:46:00,2018-02-23 13:00:00,2018-01-19,2018-02-22,high=3887.4 突破前20日高点 3869.1；涨跌幅=1.6145%，超过2倍前20日平均绝对涨跌幅 0.4630%；增仓幅度=7.5087%，超过1.5倍前20日平均绝对增减仓幅度 1.7844%；首次突破时间=2018-02-23 13:46:00
2018-02-23 14:59:00,2018-02-23,JD,畜禽,向上,0.0203960943,0.0785260806,3869.0997598328,0.0046299470,0.0178441319,2018-02-23 13:46:00,2018-02-23 14:00:00,2018-01-19,2018-02-22,high=3888.83 突破前20日高点 3869.1；涨跌幅=2.0396%，超过2倍前20日平均绝对涨跌幅 0.4630%；增仓幅度=7.8526%，超过1.5倍前20日平均绝对增减仓幅度 1.7844%；首次突破时间=2018-02-23 13:46:00
2018-02-23 15:00:00,2018-02-23,JD,畜禽,向上,0.0202249336,0.0780845470,3869.0997598328,0.0046299470,0.0178441319,2018-02-23 13:46:00,2018-02-23 15:00:00,2018-01-19,2018-02-22,high=3890.18 突破前20日高点 3869.1；涨跌幅=2.0225%，超过2倍前20日平均绝对涨跌幅 0.4630%；增仓幅度=7.8085%，超过1.5倍前20日平均绝对增减仓幅度 1.7844%；首次突破时间=2018-02-23 13:46:00
2018-02-26 09:59:00,2018-02-26,CS,谷物淀粉,向上,0.0172284154,0.1698462316,2161.3448266838,0.0042734892,0.0277733077,2018-02-26 09:23:00,2018-02-26 09:00:00,2018-01-22,2018-02-23,high=2180.27 突破前20日高点 2161.34；涨跌幅=1.7228%，超过2倍前20日平均绝对涨跌幅 0.4273%；增仓幅度=16.9846%，超过1.5倍前20日平均绝对增减仓幅度 2.7773%；首次突破时间=2018-02-26 09:23:00
2018-02-26 10:59:00,2018-02-26,CS,谷物淀粉,向上,0.0154114510,0.2833279702,2161.3448266838,0.0042734892,0.0277733077,2018-02-26 09:23:00,2018-02-26 10:00:00,2018-01-22,2018-02-23,high=2188.93 突破前20日高点 2161.34；涨跌幅=1.5411%，超过2倍前20日平均绝对涨跌幅 0.4273%；增仓幅度=28.3328%，超过1.5倍前20日平均绝对增减仓幅度 2.7773%；首次突破时间=2018-02-26 09:23:00
