交易日,龙头品种,跟涨品种,板块,识别时间,开多时间,开多价,平多时间,平多价,税前收益率,净收益率
2019-05-21,RB,HC,黑色钢矿,2019-05-21 14:59:00,2019-05-21 15:00:00,3738.583890254821,2019-05-21 15:00:00,3733.6117894573,-0.001329942283890384,-0.001329942283890384
2019-05-21,RM,M,油脂油料,2019-05-21 09:59:00,2019-05-21 10:00:00,2796.816650794284,2019-05-21 15:00:00,2785.9920282635,-0.003870336844465694,-0.003870336844465694
2019-06-20,AG,AU,贵金属,2019-06-20 13:59:00,2019-06-20 14:00:00,310.8455930018799,2019-06-20 15:00:00,310.9203926885,0.00024063293256881835,0.00024063293256881835
2019-06-24,HC,RB,黑色钢矿,2019-06-24 09:59:00,2019-06-24 10:00:00,3863.662190166197,2019-06-24 15:00:00,3819.3967860597,-0.01145685153820164,-0.01145685153820164
2019-07-11,FU,SC,能源油品,2019-07-11 09:59:00,2019-07-11 10:00:00,458.6792403730885,2019-07-11 15:00:00,461.8527563444,0.006918813174823901,0.006918813174823901
2019-08-13,M,B,油脂油料,2019-08-13 10:59:00,2019-08-13 11:00:00,3341.1469495502547,2019-08-13 15:00:00,3324.6720392484,-0.004930914608252235,-0.004930914608252235
2019-08-13,M,RM,油脂油料,2019-08-13 10:59:00,2019-08-13 11:00:00,2433.884055080508,2019-08-13 15:00:00,2425.652029075,-0.0033822588994427694,-0.0033822588994427694
2019-11-05,RU,NR,橡胶,2019-11-05 09:59:00,2019-11-05 10:00:00,10187.922615476906,2019-11-05 15:00:00,10279.0271979005,0.008942410132286804,0.008942410132286804
2019-11-14,RB,HC,黑色钢矿,2019-11-14 11:30:00,2019-11-14 13:31:00,3401.3793550604964,2019-11-14 15:00:00,3429.2782696529,0.008202235528623314,0.008202235528623314
2019-11-20,RU,NR,橡胶,2019-11-20 10:59:00,2019-11-20 11:00:00,10761.02126302828,2019-11-20 15:00:00,10767.8958437766,0.000638840922277284,0.000638840922277284
2019-12-04,AU,AG,贵金属,2019-12-03 22:59:00,2019-12-03 23:00:00,4226.66987418693,2019-12-04 15:00:00,4268.513448569,0.009899891788950788,0.009899891788950788
2019-12-05,RU,NR,橡胶,2019-12-05 13:59:00,2019-12-05 14:00:00,11178.743557522446,2019-12-05 15:00:00,11225.8488635335,0.0042138283044659275,0.0042138283044659275
2019-12-27,CF,CY,软商品纺织,2019-12-27 09:59:00,2019-12-27 10:00:00,21683.400000000005,2019-12-27 15:00:00,21641.6477422762,-0.0019255401700750685,-0.0019255401700750685
2019-12-30,CF,CY,软商品纺织,2019-12-30 09:59:00,2019-12-30 10:00:00,22185.475793981208,2019-12-30 15:00:00,22103.5596933187,-0.003692330127295751,-0.003692330127295751
2020-01-16,C,CS,谷物淀粉,2020-01-16 14:59:00,2020-01-16 15:00:00,2308.6307494533976,2020-01-16 15:00:00,2310.6602457689,0.0008790909139466674,0.0008790909139466674
2020-02-06,JM,J,煤焦,2020-02-06 14:59:00,2020-02-06 15:00:00,1791.0650663320716,2020-02-06 15:00:00,1791.8910547093,0.0004611716194766746,0.0004611716194766746
2020-02-11,JM,J,煤焦,2020-02-11 13:59:00,2020-02-11 14:00:00,1846.72519625134,2020-02-11 15:00:00,1853.2410114741,0.003528307966982114,0.003528307966982114
2020-03-02,M,B,油脂油料,2020-03-02 10:59:00,2020-03-02 11:00:00,3047.98977139058,2020-03-02 15:00:00,3067.6901860329,0.006463412320879325,0.006463412320879325
2020-03-02,M,RM,油脂油料,2020-03-02 10:59:00,2020-03-02 11:00:00,2344.477529718759,2020-03-02 15:00:00,2365.9226917352,0.009147096418967715,0.009147096418967715
2020-03-10,C,CS,谷物淀粉,2020-03-10 10:59:00,2020-03-10 11:00:00,2266.7957153542043,2020-03-10 15:00:00,2260.6185236678,-0.002725076478909294,-0.002725076478909294
2020-03-23,RM,B,油脂油料,2020-03-23 10:59:00,2020-03-23 11:00:00,3198.0785521339817,2020-03-23 15:00:00,3217.6013012941,0.006104524589332305,0.006104524589332305
2020-03-23,RM,M,油脂油料,2020-03-23 10:59:00,2020-03-23 11:00:00,2919.202726580972,2020-03-23 15:00:00,2921.7138757704,0.0008602174719016809,0.0008602174719016809
2020-05-15,AG,AU,贵金属,2020-05-15 13:59:00,2020-05-15 14:00:00,390.9155140309306,2020-05-15 15:00:00,391.3966084382,0.0012306864015414476,0.0012306864015414476
2020-06-01,PP,L,烯烃塑料,2020-06-01 14:59:00,2020-06-01 15:00:00,6674.591841220992,2020-06-01 15:00:00,6679.3200494091,0.0007083891121113517,0.0007083891121113517
2020-06-05,RU,NR,橡胶,2020-06-05 09:59:00,2020-06-05 10:00:00,8966.170663600526,2020-06-05 15:00:00,9014.0355255907,0.0053383839975842395,0.0053383839975842395
2020-06-16,L,PP,烯烃塑料,2020-06-16 11:30:00,2020-06-16 13:31:00,7410.45819306742,2020-06-16 15:00:00,7398.7793932446,-0.001575988895497149,-0.001575988895497149
2020-07-01,M,RM,油脂油料,2020-07-01 10:59:00,2020-07-01 11:00:00,2349.138214499936,2020-07-01 15:00:00,2351.8317247879,0.0011465950667943758,0.0011465950667943758
2020-07-06,L,PP,烯烃塑料,2020-07-06 14:59:00,2020-07-06 15:00:00,7683.662639535457,2020-07-06 15:00:00,7684.0011003746,4.404941432523124e-05,4.404941432523124e-05
2020-07-09,CS,C,谷物淀粉,2020-07-09 14:59:00,2020-07-09 15:00:00,2149.94038716547,2020-07-09 15:00:00,2150.0321734144,4.269246230181878e-05,4.269246230181878e-05
2020-07-20,CS,C,谷物淀粉,2020-07-20 09:59:00,2020-07-20 10:00:00,2174.4030642750936,2020-07-20 15:00:00,2171.3138599267,-0.0014207137577887385,-0.0014207137577887385
2020-07-20,RM,M,油脂油料,2020-07-20 13:59:00,2020-07-20 14:00:00,2884.3477469167087,2020-07-20 15:00:00,2890.0299305596,0.0019700064421723784,0.0019700064421723784
