交易日,当日收益率,累计净值,回撤
2018-02-12,-8.567338566822791e-05,0.9999143266143318,0.0
2018-02-13,0.0,0.9999143266143318,0.0
2018-02-14,0.0,0.9999143266143318,0.0
2018-02-22,0.0,0.9999143266143318,0.0
2018-02-23,0.0,0.9999143266143318,0.0
2018-02-26,-0.003969885029188158,0.9959447816986348,-0.003969885029188158
2018-02-27,0.0,0.9959447816986348,-0.003969885029188158
2018-02-28,0.0,0.9959447816986348,-0.003969885029188158
2018-03-01,0.0,0.9959447816986348,-0.003969885029188158
2018-03-02,-0.004329718157154272,0.9916326214937912,-0.00828241470304969
2018-03-05,0.0,0.9916326214937912,-0.00828241470304969
2018-03-06,0.0,0.9916326214937912,-0.00828241470304969
2018-03-07,0.0,0.9916326214937912,-0.00828241470304969
2018-03-08,0.0,0.9916326214937912,-0.00828241470304969
2018-03-09,0.0,0.9916326214937912,-0.00828241470304969
2018-03-12,0.0,0.9916326214937912,-0.00828241470304969
2018-03-13,0.0,0.9916326214937912,-0.00828241470304969
2018-03-14,0.0,0.9916326214937912,-0.00828241470304969
2018-03-15,0.0,0.9916326214937912,-0.00828241470304969
2018-03-16,0.0,0.9916326214937912,-0.00828241470304969
2018-03-19,0.0,0.9916326214937912,-0.00828241470304969
2018-03-20,0.0,0.9916326214937912,-0.00828241470304969
2018-03-21,0.0,0.9916326214937912,-0.00828241470304969
2018-03-22,0.0,0.9916326214937912,-0.00828241470304969
2018-03-23,0.0,0.9916326214937912,-0.00828241470304969
2018-03-26,0.0,0.9916326214937912,-0.00828241470304969
2018-03-27,0.0,0.9916326214937912,-0.00828241470304969
2018-03-28,0.0,0.9916326214937912,-0.00828241470304969
2018-03-29,0.0,0.9916326214937912,-0.00828241470304969
2018-03-30,-0.0001408559105168239,0.9914929441779925,-0.008422103986502227
2018-04-02,0.0,0.9914929441779925,-0.008422103986502227
2018-04-03,0.0,0.9914929441779925,-0.008422103986502227
2018-04-04,0.0,0.9914929441779925,-0.008422103986502227
2018-04-09,-0.013824114795804698,0.9777864318984455,-0.022129790649975334
