交易日,龙头品种,跟涨品种,板块,识别时间,开空时间,开空价,平空时间,平空价,税前收益率,净收益率
2023-10-09,FU,SC,能源油品,2023-10-09 09:59:00,2023-10-09 10:00:00,657.0045597542469,2023-10-09 15:00:00,647.6892885495,0.014382314744788127,0.014382314744788127
2025-04-07,CU,AL,有色基本金属,2025-04-07 10:59:00,2025-04-07 11:00:00,19816.69985850836,2025-04-07 15:00:00,19650.4336027524,0.008461200354004994,0.008461200354004994
2025-04-07,AG,AU,贵金属,2025-04-07 10:59:00,2025-04-07 11:00:00,719.1058709357926,2025-04-07 15:00:00,718.8262025704,0.0003890625639306755,0.0003890625639306755
2025-04-07,FU,BU,能源油品,2025-04-07 09:59:00,2025-04-07 10:00:00,3367.09220649973,2025-04-07 15:00:00,3366.9944012506,2.904823634208853e-05,2.904823634208853e-05
2025-04-07,V,EB,烯烃塑料,2025-04-07 09:59:00,2025-04-07 10:00:00,7325.051517518546,2025-04-07 15:00:00,7324.9182859207,1.8188816945707842e-05,1.8188816945707842e-05
2025-04-07,V,L,烯烃塑料,2025-04-07 09:59:00,2025-04-07 10:00:00,7384.771824849322,2025-04-07 15:00:00,7294.3684670805,0.012393582553008153,0.012393582553008153
2025-04-07,FU,LU,能源油品,2025-04-07 09:59:00,2025-04-07 10:00:00,3488.792557177007,2025-04-07 15:00:00,3488.6428019619,4.292649709580765e-05,4.292649709580765e-05
2025-04-07,CU,PB,有色基本金属,2025-04-07 10:59:00,2025-04-07 11:00:00,16906.946652785664,2025-04-07 15:00:00,16662.5581420801,0.01466692620794996,0.01466692620794996
2025-04-07,EG,PF,聚酯产业链,2025-04-07 10:59:00,2025-04-07 11:00:00,6180.69257252359,2025-04-07 15:00:00,6180.7038189979,-1.8196106204015905e-06,-1.8196106204015905e-06
2025-04-07,V,PP,烯烃塑料,2025-04-07 09:59:00,2025-04-07 10:00:00,7205.724183085032,2025-04-07 15:00:00,7172.6531077366,0.004610717241122497,0.004610717241122497
