RETURN_MULTIPLIER,OI_MULTIPLIER,CORRELATION_THRESHOLD,单边费率,交易次数,胜率,累计收益率,年化收益率,最大回撤,年化夏普比率
1.0,0.5,0.5,0.0,1324.0,0.5007552870090635,-0.23578283903394448,-0.03347882794824408,0.27553999146267494,-0.4770348163692158
1.0,0.5,0.5,0.0001,1324.0,0.459214501510574,-0.3007657661795994,-0.04429451522791028,0.32728178053521084,-0.6447665364293217
1.0,0.5,0.6,0.0,1086.0,0.4990791896869245,-0.14656681408574213,-0.019869781385177365,0.22830859564972938,-0.27890322951418345
1.0,0.5,0.6,0.0001,1086.0,0.4548802946593002,-0.21284578694371536,-0.029852594676110344,0.2636344761136522,-0.4371561063898017
1.0,0.5,0.7,0.0,836.0,0.4868421052631579,-0.17744055461187946,-0.0244324056223707,0.2515485580607487,-0.3590530554953344
1.0,0.5,0.7,0.0001,836.0,0.43899521531100477,-0.23370178394219088,-0.033145931040885035,0.2806182754501738,-0.500145305543896
1.0,0.5,0.8,0.0,572.0,0.479020979020979,-0.12959097544002873,-0.01742212347261518,0.1691945518440745,-0.31487680645008903
1.0,0.5,0.8,0.0001,572.0,0.4318181818181818,-0.1785035597186918,-0.024592147249000273,0.18650153403214187,-0.45614561839521445
1.0,0.5,0.9,0.0,245.0,0.4530612244897959,-0.07688304140177771,-0.010119905220346004,0.101192265117659,-0.259249920612692
1.0,0.5,0.9,0.0001,245.0,0.4,-0.10561553924640055,-0.01409156074682083,0.12103996606357192,-0.36828827977615564
1.0,1.0,0.5,0.0,825.0,0.5054545454545455,-0.09106178879562177,-0.012017903025293597,0.14558559676515492,-0.16533478735032017
1.0,1.0,0.5,0.0001,825.0,0.4509090909090909,-0.14658263791985793,-0.019872082704876504,0.18736436898300102,-0.2945729620372826
1.0,1.0,0.6,0.0,677.0,0.5081240768094535,-0.09260040509133294,-0.012334567115387496,0.17465052675819326,-0.17659724927738818
1.0,1.0,0.6,0.0001,677.0,0.4549483013293944,-0.14272824562694897,-0.019477394462871334,0.20673118731729712,-0.29719444349658775
1.0,1.0,0.7,0.0,541.0,0.49907578558225507,-0.12444642384589677,-0.016831166606740444,0.20512470760977164,-0.25208249334738625
1.0,1.0,0.7,0.0001,541.0,0.4417744916820702,-0.16734292647503957,-0.023119141846006608,0.2248636278092202,-0.35838774196230616
1.0,1.0,0.8,0.0,362.0,0.494475138121547,-0.009302366278142848,-0.0011929865991073818,0.12888147801539263,-0.003908312486632865
1.0,1.0,0.8,0.0001,362.0,0.45027624309392267,-0.04739341663354646,-0.006182243385586372,0.14067378778729034,-0.11460506872074784
1.0,1.0,0.9,0.0,157.0,0.445859872611465,-0.08597626430304184,-0.011550458474490766,0.1252987719339278,-0.43091856509967685
1.0,1.0,0.9,0.0001,157.0,0.39490445859872614,-0.10481003764565733,-0.014206466918011196,0.13159803742187826,-0.531800872753655
1.0,1.5,0.5,0.0,514.0,0.5350194552529183,0.07913772703797561,0.00987076470644932,0.06553570310691403,0.23450571927979594
1.0,1.5,0.5,0.0001,514.0,0.4669260700389105,0.0345553171139934,0.004390811925845561,0.08019858617491105,0.11741262359907856
1.0,1.5,0.6,0.0,428.0,0.5373831775700935,0.06958198498575174,0.008713026865669882,0.07990487198601337,0.21486412023630244
1.0,1.5,0.6,0.0001,428.0,0.4696261682242991,0.029296924488053655,0.0037309677908980987,0.09235015769950994,0.10502236638243577
1.0,1.5,0.7,0.0,345.0,0.5449275362318841,0.09550374422463825,0.011833026314520323,0.07031029722359972,0.28686861774145633
1.0,1.5,0.7,0.0001,345.0,0.4666666666666667,0.05847331626677188,0.007355762919223796,0.0796189597559035,0.1871573547482942
1.0,1.5,0.8,0.0,231.0,0.5238095238095238,0.03048425176723346,0.0038881894481317403,0.09481849780915808,0.12616195941724512
1.0,1.5,0.8,0.0001,231.0,0.47186147186147187,0.004240261956057534,0.0005469633449097788,0.10339499215630854,0.03296792966747595
1.0,1.5,0.9,0.0,108.0,0.4722222222222222,-0.06322230603111667,-0.00840445167384185,0.09849765139906619,-0.4159448133475534
1.0,1.5,0.9,0.0001,108.0,0.42592592592592593,-0.07644420865743107,-0.010224329030641965,0.1040889331246192,-0.5062711508922378
1.0,2.0,0.5,0.0,317.0,0.5236593059936908,-0.001663229797714716,-0.00021509627578508717,0.06586162897886605,0.012352430899379175
1.0,2.0,0.5,0.0001,317.0,0.4668769716088328,-0.029232976220131657,-0.003826777612360721,0.07683364990899566,-0.08589160844119309
1.0,2.0,0.6,0.0,264.0,0.5113636363636364,-0.042998846339659225,-0.005666578682336998,0.099314627042429,-0.1417533046895816
1.0,2.0,0.6,0.0001,264.0,0.4621212121212121,-0.06738519161483347,-0.008979594412454994,0.10883133199440953,-0.2350776887355036
1.0,2.0,0.7,0.0,215.0,0.5162790697674419,-0.0341758401931862,-0.004486018252826129,0.09259118570978975,-0.10599364156598604
1.0,2.0,0.7,0.0001,215.0,0.4604651162790698,-0.05614595912164977,-0.007443428361195048,0.10121886953951353,-0.1878147378455773
1.0,2.0,0.8,0.0,142.0,0.4788732394366197,-0.07826707638348185,-0.01066193053399922,0.09218376599075928,-0.34131492590864043
1.0,2.0,0.8,0.0001,142.0,0.43661971830985913,-0.09382102157304684,-0.01287395320758078,0.10349241720197377,-0.4146151610004192
1.0,2.0,0.9,0.0,75.0,0.4,-0.10352054525831345,-0.014270133443601396,0.1201163864932977,-0.8058847548754031
1.0,2.0,0.9,0.0001,75.0,0.37333333333333335,-0.11281614779216331,-0.015620538000305162,0.12831891972500098,-0.8753044370469986
1.0,2.5,0.5,0.0,177.0,0.5423728813559322,0.09180997793222212,0.011498918980771045,0.04758645465034006,0.35984681180415
1.0,2.5,0.5,0.0001,177.0,0.4971751412429379,0.07342223087705646,0.009265114811646713,0.04816719561889393,0.29393089587922866
1.0,2.5,0.6,0.0,150.0,0.5333333333333333,0.06016230254009458,0.007633505872282731,0.04758645465034017,0.25372456237904917
1.0,2.5,0.6,0.0001,150.0,0.49333333333333335,0.043344413615534316,0.005538367476040307,0.04816719561889393,0.18879981823594422
1.0,2.5,0.7,0.0,122.0,0.5081967213114754,0.03341457568478523,0.004287495297766064,0.052705832189281154,0.14548958273894338
1.0,2.5,0.7,0.0001,122.0,0.47540983606557374,0.01905201233513565,0.002459602752859613,0.05347381814165564,0.09053797683764177
1.0,2.5,0.8,0.0,84.0,0.4880952380952381,-0.054928428330811574,-0.007678352096783914,0.08669288592236557,-0.25522136194421374
1.0,2.5,0.8,0.0001,84.0,0.4523809523809524,-0.06527938859111215,-0.00916827932532438,0.09126508344565354,-0.30708307395719914
1.0,2.5,0.9,0.0,40.0,0.425,-0.062142738053689195,-0.009611630578763797,0.08448933669872671,-0.5984195310303975
1.0,2.5,0.9,0.0001,40.0,0.4,-0.06739271143898495,-0.010448207514270003,0.08762607877237749,-0.646381296923982
1.0,3.0,0.5,0.0,116.0,0.5431034482758621,0.07220612030668705,0.009409137751356988,0.02876860459698094,0.34817677485349613
